,name,year,wine ID,rating,price,winery,ratings_count,country,flavor_1,flavor_1_count,flavor_2,flavor_2_count,flavor_3,flavor_3_count,flavor_4,flavor_4_count,flavor_5,flavor_5_count
91,Stonewell Shiraz 2013,2013,2050,4.2,58.89404284150727,Peter Lehmann,527,pt,oak,300,black_fruit,279,spices,218,earth,181,non_oak,168
92,Vintage Port 2011,2011,69744,4.5,99.71695579138118,Taylor's,513,pt,oak,457,non_oak,379,black_fruit,379,dried_fruit,305,spices,207
93,Hermitage La Chapelle Rouge 2011,2011,10922,4.2,142.9252979781984,Paul Jaboulet Aîné,504,pt,earth,936,oak,870,black_fruit,698,non_oak,548,spices,478
94,30 Years Old Tawny Port N.V.,N.V.,2117087,4.3,95.21671323933272,Kopke,503,pt,oak,29,non_oak,28,dried_fruit,23,earth,23,microbio,11
95,40 Year Old Tawny Porto N.V.,N.V.,1462828,4.6,120.17351491995782,Royal Oporto,497,pt,non_oak,15,oak,12,earth,9,vegetal,6,microbio,6
96,Blanc de Blancs Brut Champagne (Vintage) 2014,2014,74300,4.2,99.86729797018012,Louis Roederer,494,pt,tree_fruit,238,citrus_fruit,228,non_oak,200,microbio,200,oak,180
97,Incógnito 2013,2013,8039,4.5,80.18249535943808,Cortes de Cima,488,pt,oak,77,non_oak,57,black_fruit,56,spices,50,earth,42
98,Douro Batuta Tinto 2012,2012,8967,4.3,68.15512105552237,Niepoort,475,pt,oak,123,black_fruit,89,earth,73,non_oak,65,red_fruit,59
99,Vintage Port 2009,2009,69744,4.3,107.74522813924492,Taylor's,464,pt,oak,457,non_oak,379,black_fruit,379,dried_fruit,305,spices,207
100,Principal Grande Reserva Bairrada 2008,2008,1548080,4.3,113.2577746952063,Colinas de São Lourenço,462,pt,oak,43,earth,27,black_fruit,26,non_oak,24,red_fruit,22
101,Flor de Pingus 2019,2019,79814,4.5,115.26233707919224,Dominio de Pingus,448,pt,oak,806,black_fruit,590,non_oak,583,earth,526,spices,446
102,Tordiz 40 Year Old Tawny Port N.V.,N.V.,76388,4.6,99.22583800730465,Burmester,443,pt,oak,14,non_oak,12,dried_fruit,8,earth,8,microbio,7
103,Colheita Port 1998,1998,76378,4.0,60.13687151957856,Burmester,434,pt,oak,198,non_oak,193,dried_fruit,133,earth,81,spices,63
104,Hermitage Monier de la Sizeranne 2014,2014,20648,4.2,79.8517425660804,M. Chapoutier,427,pt,earth,413,oak,408,black_fruit,363,spices,284,non_oak,283
105,Sauternes Barsac (Premier Grand Cru Classé) 2014,2014,2677769,4.3,63.42435382931552,Château Coutet,415,pt,earth,824,tree_fruit,675,citrus_fruit,430,oak,411,non_oak,361
106,Vintage Port 1985,1985,1136082,4.3,61.13915271157153,Cálem,404,pt,oak,59,black_fruit,48,dried_fruit,41,non_oak,38,earth,32
107,Porto 30 Years Old Tawny N.V.,N.V.,1216287,4.4,119.27146184716416,Niepoort,404,pt,oak,14,non_oak,13,earth,11,microbio,10,dried_fruit,8
108,Guimaraens Vintage Port 1995,1995,33324,4.2,74.66994880347671,Fonseca,392,pt,oak,223,black_fruit,202,dried_fruit,170,non_oak,167,earth,95
109,Sauternes Barsac (Premier Grand Cru Classé) 2016,2016,2677769,4.2,60.928673661253015,Château Coutet,383,pt,earth,824,tree_fruit,675,citrus_fruit,430,oak,411,non_oak,361
110,Vintage Rosé Brut Champagne 2012,2012,79852,4.4,82.08682962422473,Veuve Clicquot,380,pt,red_fruit,289,citrus_fruit,170,earth,136,microbio,134,non_oak,132
111,Colheita Port 2000,2000,76372,4.1,55.02523744041439,Kopke,378,pt,non_oak,613,oak,602,dried_fruit,428,earth,280,microbio,230
112,Colheita Port 1981,1981,76372,4.5,120.27374303915713,Kopke,372,pt,non_oak,613,oak,602,dried_fruit,428,earth,280,microbio,230
113,Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2008,2008,78014,3.9,50.96599861284283,Château Carbonnieux,368,pt,citrus_fruit,680,oak,551,tree_fruit,525,earth,487,microbio,347
114,Côte-Rôtie Les Bécasses  2016,2016,20637,4.2,64.3264069021092,M. Chapoutier,367,pt,oak,167,black_fruit,154,earth,138,spices,133,non_oak,115
115,Boa-Vista Reserva 2016,2016,4925607,4.4,65.68950932321965,Quinta da Boavista,363,pt,oak,38,black_fruit,25,earth,20,spices,17,non_oak,15
116,Vintage Extra Brut Celebris Champagne 2007,2007,16534,4.3,120.27374303915713,Gosset,357,pt,tree_fruit,123,microbio,116,non_oak,112,earth,104,citrus_fruit,93
117,Rosé Réserve Champagne N.V.,N.V.,4131601,3.8,56.709069842962585,Palmer & Co.,334,pt,red_fruit,32,non_oak,19,citrus_fruit,18,oak,17,microbio,12
118,Colheita Port 1979,1979,76372,4.6,127.28971138310796,Kopke,330,pt,non_oak,613,oak,602,dried_fruit,428,earth,280,microbio,230
119,40 Years Old Tawny Port N.V.,N.V.,5790892,4.4,149.33989760695343,Kopke,329,pt,oak,24,non_oak,22,dried_fruit,19,earth,15,microbio,10
120,Bin 407 Cabernet Sauvignon 2019,2019,1241,4.2,74.77017692267601,Penfolds,329,pt,black_fruit,833,oak,799,spices,540,non_oak,401,earth,398
121,Malvasia 20 Years Old Madeira N.V.,N.V.,1494206,4.3,75.1710893994732,Henriques & Henriques,326,pt,oak,22,non_oak,21,dried_fruit,13,earth,13,microbio,9
122,Aile d'Argent Blanc Bordeaux 2014,2014,2284844,4.2,84.94333102140472,Château Mouton Rothschild,321,pt,tree_fruit,192,oak,169,citrus_fruit,159,earth,139,microbio,111
123,Colheita Port 1975,1975,76378,4.5,121.2760242311501,Burmester,316,pt,oak,198,non_oak,193,dried_fruit,133,earth,81,spices,63
124,Pessac-Léognan 2017,2017,1379887,4.1,100.92971603369269,Château les Carmes Haut-Brion,316,pt,oak,302,black_fruit,258,earth,246,non_oak,188,red_fruit,130
125,Colheita Porto 1996,1996,1189822,4.3,59.63573092358208,Barros,314,pt,non_oak,129,oak,125,dried_fruit,87,earth,66,microbio,54
126,Colheita Port 1975,1975,76372,4.5,136.31024211104474,Kopke,313,pt,non_oak,613,oak,602,dried_fruit,428,earth,280,microbio,230
127,Colheita Port 1998,1998,76372,4.2,61.03892459237224,Kopke,306,pt,non_oak,613,oak,602,dried_fruit,428,earth,280,microbio,230
128,Aile d'Argent Blanc Bordeaux 2012,2012,2284844,4.2,90.60621975616505,Château Mouton Rothschild,303,pt,tree_fruit,192,oak,169,citrus_fruit,159,earth,139,microbio,111
129,Extra Brut Celebris Rosé Champagne 2007,2007,1130475,4.3,140.31936687901666,Gosset,296,pt,red_fruit,26,non_oak,23,microbio,19,oak,19,citrus_fruit,19
130,Colheita Port 1997,1997,8971,4.3,63.64485569155398,Niepoort,294,pt,oak,179,non_oak,173,dried_fruit,134,earth,89,microbio,80
131,Touriga Franca 2016,2016,7097947,4.5,59.13459032758559,Quinta do Crasto,291,pt,oak,24,red_fruit,20,black_fruit,15,earth,15,non_oak,12
132,Colheita Port 1985,1985,76378,4.2,87.19846370338891,Burmester,291,pt,oak,198,non_oak,193,dried_fruit,133,earth,81,spices,63
133,Pinot Noir 2014,2014,4359832,4.2,106.3921485300544,Nicolas Jay,289,pt,red_fruit,165,oak,111,earth,107,non_oak,71,spices,70
134,Colheita Port 1987,1987,76372,4.4,79.1802141674451,Kopke,289,pt,non_oak,613,oak,602,dried_fruit,428,earth,280,microbio,230
135,Aconcagua Valley 2019,2019,25474,4.4,135.30796091905177,Sena,287,pt,oak,811,black_fruit,745,non_oak,571,earth,550,spices,437
136,Colheita Porto 1974,1974,1189822,4.6,99.22583800730465,Barros,282,pt,non_oak,129,oak,125,dried_fruit,87,earth,66,microbio,54
137,Vintage Port 2011,2011,83732,4.5,115.26233707919224,Churchill's,282,pt,oak,56,black_fruit,49,non_oak,45,earth,34,dried_fruit,32
138,Vinhas Velhas Alentejo Tinto 2011,2011,6350962,4.5,135.30796091905177,Tapada do Chaves,266,pt,oak,17,black_fruit,15,earth,13,non_oak,13,red_fruit,11
139,Côte-Rôtie Les Bécasses  2015,2015,20637,4.2,64.3264069021092,M. Chapoutier,241,pt,oak,167,black_fruit,154,earth,138,spices,133,non_oak,115
140,EPU 2019,2019,1234111,4.2,65.58928120402035,Almaviva,238,pt,oak,218,black_fruit,158,non_oak,154,spices,135,earth,109
141,Colheita Port 1980,1980,76372,4.5,125.285148999122,Kopke,237,pt,non_oak,613,oak,602,dried_fruit,428,earth,280,microbio,230
142,Vintage Port 1999,1999,1136448,3.8,58.3327653739912,Quinta do Portal,230,pt,oak,34,non_oak,27,black_fruit,25,spices,22,dried_fruit,14
143,20 Years Old Tawny Port N.V.,N.V.,1911270,4.1,60.12684870765863,Martha's,214,pt,oak,10,non_oak,9,spices,8,citrus_fruit,5,black_fruit,4
144,Vintage Port 2007,2007,1136448,3.9,62.24166202276381,Quinta do Portal,212,pt,oak,34,non_oak,27,black_fruit,25,spices,22,dried_fruit,14
145,Douro Charme Tinto 2018,2018,1216909,4.3,54.62432496361719,Niepoort,209,pt,red_fruit,109,oak,85,earth,64,non_oak,56,spices,45
146,Colheita Port 1980,1980,1521009,4.3,139.2970400631838,Messias,208,pt,oak,128,non_oak,124,dried_fruit,86,earth,86,microbio,59
147,Saint-Émilion Grand Cru (Grand Cru Classé) 2015,2015,1232315,4.2,52.78012757035012,Château Cadet-Bon,208,pt,oak,69,earth,62,black_fruit,59,non_oak,48,red_fruit,37
148,Reserva Tinto 2014,2014,8036,4.5,84.94333102140472,Cortes de Cima,205,pt,oak,34,black_fruit,21,earth,19,non_oak,17,spices,16
149,Vintage Port 2000,2000,1136448,3.9,68.35557729392096,Quinta do Portal,202,pt,oak,34,non_oak,27,black_fruit,25,spices,22,dried_fruit,14
150,Vintage Port 2017,2017,69744,4.4,115.26233707919224,Taylor's,201,pt,oak,457,non_oak,379,black_fruit,379,dried_fruit,305,spices,207
151,Le Dix de Los Vascos 2017,2017,23815,4.4,50.40472114532676,Los Vascos,199,pt,oak,259,black_fruit,207,earth,171,non_oak,164,spices,141
152,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2006,2006,2038623,4.2,104.19715271958978,Château Belair-Monange,199,pt,oak,214,black_fruit,171,earth,164,non_oak,130,red_fruit,99
153,Júlio B. Bastos Alicante Bouschet 2015,2015,1146705,4.2,89.19300327545494,Dona Maria,196,pt,oak,28,black_fruit,21,spices,16,red_fruit,15,earth,12
154,40 Years Old Tawny Porto N.V.,N.V.,1892614,4.4,95.21671323933272,Barros,190,pt,oak,6,earth,6,non_oak,4,microbio,3,dried_fruit,3
155,Porto Aged Tawny 40 Years Old N.V.,N.V.,1179253,4.5,110.15070300002806,Quinta do Portal,186,pt,dried_fruit,6,oak,6,non_oak,5,earth,4,microbio,3
156,Selección Finca el Grajo Viejo 2016,2016,1422758,4.4,69.08724256407584,Protos,179,pt,oak,56,black_fruit,32,non_oak,30,spices,28,earth,20
157,Vintage Port 2015,2015,1162976,4.2,78.17793297545212,Niepoort,179,pt,oak,124,non_oak,94,black_fruit,93,earth,78,spices,67
